,Assembly,pident_x,qcovs_x,Qval_x,pident_y,qcovs_y,Qval_y
0,NC_002745.2,0.09782608695652174,0.11956521739130435,0.21739130434782608,97.38498913043476,96.1195652173913,193.50455434782606
1,NC_002758.2,0.12903225806451613,0.17204301075268819,0.3010752688172043,95.394311827957,94.94623655913979,190.34054838709676
2,NC_002951.2,0.06521739130434782,0.11956521739130435,0.18478260869565216,97.29573913043478,96.34782608695652,193.64356521739128
3,NC_002952.2,0.25806451612903225,0.12903225806451613,0.3870967741935484,92.78918279569896,95.39784946236558,188.18703225806448
4,NC_002953.3,0.11827956989247312,0.13978494623655913,0.25806451612903225,95.63937634408603,94.44086021505376,190.08023655913973
5,NC_003923.1,0.07526881720430108,0.12903225806451613,0.20430107526881722,96.52952688172044,95.26881720430107,191.7983440860215
6,NC_007622.1,0.16129032258064516,0.20430107526881722,0.3655913978494624,92.9159677419355,91.17204301075269,184.08801075268815
7,NC_007793.1,0.0,0.10752688172043011,0.10752688172043011,99.96598924731184,96.74193548387096,196.7079247311828
8,NC_007795.1,0.06451612903225806,0.13978494623655913,0.20430107526881722,97.30874193548387,94.31182795698925,191.62056989247313
9,NC_009487.1,0.09782608695652174,0.11956521739130435,0.21739130434782608,97.42681521739128,96.04347826086956,193.47029347826083
10,NC_009632.1,0.09782608695652174,0.11956521739130435,0.21739130434782608,97.42681521739128,96.04347826086956,193.47029347826083
11,NC_009641.1,0.053763440860215055,0.12903225806451613,0.1827956989247312,97.78634408602151,94.95698924731182,192.7433333333333
12,NC_009782.1,0.11827956989247312,0.15053763440860216,0.26881720430107525,95.7194193548387,95.47311827956989,191.19253763440858
13,NC_010079.1,0.0,0.10752688172043011,0.10752688172043011,99.96292473118281,96.74193548387096,196.7048602150537
14,NC_013450.1,0.10989010989010989,0.13186813186813187,0.24175824175824176,96.62003296703297,95.6923076923077,192.31234065934058
15,NC_013453.1,1.0,1.0,2.0,30.769,32.0,62.769
16,NC_016912.1,0.07608695652173914,0.15217391304347827,0.22826086956521738,96.58882608695654,93.91304347826087,190.5018695652174
17,NC_016928.1,0.10869565217391304,0.14130434782608695,0.25,95.31133695652176,94.58695652173913,189.8982934782609
18,NC_017331.1,0.06451612903225806,0.12903225806451613,0.1935483870967742,97.65374193548388,96.04301075268818,193.69675268817204
19,NC_017333.1,0.25,0.15217391304347827,0.40217391304347827,92.6282391304348,94.68478260869566,187.31302173913042
20,NC_017337.1,0.14285714285714285,0.14285714285714285,0.2857142857142857,94.74965934065938,95.51648351648352,190.26614285714288
21,NC_017338.1,0.11827956989247312,0.13978494623655913,0.25806451612903225,95.50138709677422,94.98924731182795,190.4906344086022
22,NC_017340.1,0.10752688172043011,0.12903225806451613,0.23655913978494625,96.7449892473118,95.13978494623656,191.88477419354834
23,NC_017341.1,0.07526881720430108,0.12903225806451613,0.20430107526881722,97.27419354838712,96.09677419354838,193.3709677419355
24,NC_017342.1,0.23655913978494625,0.13978494623655913,0.3763440860215054,93.63177419354842,94.56989247311827,188.20166666666663
25,NC_017343.1,0.11827956989247312,0.13978494623655913,0.25806451612903225,96.11680645161287,94.12903225806451,190.24583870967734
26,NC_017347.1,0.07526881720430108,0.12903225806451613,0.20430107526881722,97.23796774193548,96.01075268817205,193.2487204301075
27,NC_017349.1,0.13186813186813187,0.15384615384615385,0.2857142857142857,95.60208791208794,94.75824175824175,190.3603296703296
